Meses,Anos,Agropecuária,Indústria,Serviços,Total,PIB
Novembro,2014.0,-10.98007066892106,-5.213934117272922,-2.6307635967403153,-3.3099203402998323,-3.4502231157598318
Dezembro,2014.0,-7.452241036760299,0.6314987688857521,-1.445562473066131,-0.6378476264930821,-0.8112396409540756
Janeiro,2015.0,1.1630161829984997,-4.04156212741833,-2.8330014762804834,-2.9791412998655065,-3.018291712234722
Fevereiro,2015.0,4.0247785066732655,-8.007213811133395,-3.9966863499042216,-4.762005114786572,-4.990478168309265
Março,2015.0,30.059793835996818,-0.16414437420007033,-5.1373592231446334,-3.435877741035309,-3.9207065198458957
Abril,2015.0,4.489282133563188,-6.629272463061342,-2.279063983963636,-3.1392059551730744,-3.727295738515135
Maio,2015.0,1.7614001925246425,-9.270562449985231,-3.0337912770079467,-4.402448715975559,-4.965395202315015
Junho,2015.0,34.48494920352949,-4.0317933357670865,-0.41963014902018925,-0.4219161406301408,-0.9622428957148488
Julho,2015.0,2.0385813897342953,-7.097922777846688,-2.4553028870380245,-3.418954214847114,-3.9197208132100925
Agosto,2015.0,0.1886941162799305,-8.046876911095636,-2.9879697756287293,-4.112732216926373,-4.7326421141562385
Setembro,2015.0,0.8978881905552294,-10.11602786228134,-2.574245260064767,-4.27752738733822,-4.817205117334311
Outubro,2015.0,9.094910205616857,-9.444712901980933,-3.0297880473122984,-4.438608471853112,-4.98206048586014
Novembro,2015.0,-1.3337282530335282,-10.221592945658454,-3.336648884633586,-4.806212903597851,-5.530917094731603
Dezembro,2015.0,3.924840321896794,-10.373905175601028,-1.5423937791657627,-3.0409637267336698,-3.835208020458414
Janeiro,2016.0,16.89757417131097,-11.89110164078835,-4.388000791441293,-5.694664703992903,-6.460672271957691
Fevereiro,2016.0,26.02152828486828,-7.262572777698717,-1.8439522474263614,-2.657676062652392,-3.2151713415877414
Março,2016.0,16.764535080204634,-9.49559472354251,-2.6494277743356442,-3.834204012164344,-4.558194959005024
Abril,2016.0,10.215493717504742,-2.017507795260287,-1.7500062986413711,-1.5724784971399508,-1.8846340105114878
Maio,2016.0,9.469101605155593,-4.329501935058588,-2.5725423932915104,-2.7135065379561896,-3.2991163252634848
Junho,2016.0,12.01140620282597,-2.305866243034227,-1.1868815162298763,-1.2639773839580482,-1.5506882637672303
Julho,2016.0,2.693394775998481,-2.2946779238640413,-1.5913401453416465,-1.8136698576130872,-2.1459870141933624
Agosto,2016.0,-2.2652228615202885,-2.556655904400329,-1.2016579482373446,-1.6632746541111132,-2.0081420389154614
Setembro,2016.0,-5.22375397244601,-0.5745393299766421,-1.4821899354566792,-1.3666491418875437,-1.7332885253728003
Outubro,2016.0,-4.680208843532774,-6.894901981723445,-3.417600261673115,-4.068285228206725,-4.7108583714053465
Novembro,2016.0,6.2111362477422105,-0.5493448448700144,-1.304121022758098,-1.0084304233199504,-1.5867958723630449
Dezembro,2016.0,9.971466431391152,-1.8261471022273934,-2.523603757654347,-2.396911983360561,-3.225440272761182
Janeiro,2017.0,21.07818455236479,-1.699189106787602,1.3337157642363762,0.7466770318879545,0.9196281341059764
Fevereiro,2017.0,19.441579606274818,-3.9596624537178826,0.34225648809735887,-0.5426337673971604,-0.729802327300022
Março,2017.0,-24.97008788573174,-1.4702838433606424,-0.19593077188442276,-1.059329408606613,-1.2268612301245874
Abril,2017.0,7.564412276415533,-9.88066835314334,-1.757503311234554,-3.5203038997779657,-3.609830899191524
Maio,2017.0,4.355498442763861,0.06599916600888989,0.7422815187278164,0.5362221003304413,0.6501110108029895
Junho,2017.0,-34.414699638757554,0.133639770930305,-0.5295264219225326,-1.3599236626352318,-1.0576526282867316
Julho,2017.0,-3.0343877311790113,0.13047369105099182,-1.4512742779220877,-0.8844808945446259,-0.6000616313962648
Agosto,2017.0,7.739214813690087,2.632276601810024,-0.007027730580422276,1.021290375903483,1.173979961107885
Setembro,2017.0,14.930628198674611,1.1610722249961958,0.45943123565495014,0.9485313535951612,1.1601031887570779
Outubro,2017.0,33.00133882263816,2.9636906612253044,1.6302398073751334,2.0969627751248776,2.3153591448349164
Novembro,2017.0,21.854818863432747,2.9760010880752974,1.9735545220868511,2.3162196780702082,2.749366044383539
Dezembro,2017.0,5.868751433160169,2.970128965577956,0.26711424784364723,0.8589841034989387,1.7396381060304167
Janeiro,2018.0,-6.622095813947649,3.5140075173650143,1.1432702725308497,1.5330966304946347,1.2804657654172713
Fevereiro,2018.0,-9.79607435719525,0.07701759010472209,-0.27443425469978466,-0.29398502789299563,-0.5636199243073126
Março,2018.0,-12.090861056098646,0.6156320925106318,0.8557551945349573,0.5124627271279492,0.8686328537446553
Abril,2018.0,-5.558832452418583,10.063329970915325,2.8211571434093807,4.17364431984788,4.260621089137984
Maio,2018.0,-1.6277721296073633,-5.538720585936863,-0.4313619343611519,-1.5407425932407404,-1.5130118224333189
Junho,2018.0,-2.5926129199179693,3.4383129844618,2.175525711448145,2.326044123890103,2.3248597459314846
Julho,2018.0,6.9652921592798345,1.76022570187222,1.8998101423631786,1.9948386743333435,2.177360619775448
Agosto,2018.0,3.9796339815472592,0.28723044495782,2.596701464068807,2.078069172790542,2.298701953912552
Setembro,2018.0,3.76884534549653,-4.66020573979764,2.380999282343188,0.8234004643422832,0.5997928176903811
Outubro,2018.0,-2.7626336083949377,-1.7617671913851995,2.8997450711990336,1.802782350248866,1.737762713449742
Novembro,2018.0,-8.259564415327302,-2.9595925382893795,3.2013027320817455,1.7117096275701904,1.9153540121291002
Dezembro,2018.0,-7.590116155443671,-1.8174539113483101,3.4135006027812054,2.1792489482005406,2.4147871061686477
Janeiro,2019.0,17.51073592175898,-2.4353042538001968,3.457036840467964,2.5031843882209692,2.1037180095964114
Fevereiro,2019.0,14.240000650155693,4.752935121044044,4.541057975720886,4.7777698996150475,5.119704821570004
Março,2019.0,9.845543978749616,-5.561850530914237,0.7106333487078009,-0.4656290672470642,-0.5439074326537119
Abril,2019.0,5.620579923759617,-1.1786713965578732,1.793732937050252,1.2879784113284165,1.411183797390847
Maio,2019.0,-0.19721993193787535,10.491073308004918,4.122250488109147,5.482798209630468,6.063708823217584
Junho,2019.0,-4.025031198444973,-6.3221294638383,0.0004926373978975107,-1.5073974076296515,-1.2648949139387855
Julho,2019.0,-11.898869253149458,-2.088476766312153,2.4048649370710384,0.7575843659913151,1.0042673215056697
Agosto,2019.0,-9.201200591630897,0.01926854118818877,0.7195368606347508,0.13405907327286304,0.6405080907887273
Setembro,2019.0,-2.3564506789714557,1.9079649804601972,2.013151121878365,1.840556235518398,2.429901354297659
Outubro,2019.0,6.012202175586601,4.200231588028802,2.727423449897093,3.2164690484651537,4.008445015403717
Novembro,2019.0,4.413955651969803,-1.4539894629248762,0.9858871692904003,0.5918557273541847,0.7899558704185017
Dezembro,2019.0,9.751252737404803,-3.927874298973133,1.3542200170470808,0.4687331300118114,-0.23990531218626154
Janeiro,2020.0,0.25713853973348133,1.924427797914019,1.476075131978094,1.6209182679929546,2.00739141299342
Fevereiro,2020.0,4.298955677305338,-2.439968952481053,1.3100929496979274,0.6420453847024055,0.5957567096392502
Março,2020.0,11.848212541386927,-1.0237551849152537,2.236044976966456,1.8220903965188828,1.4225682668671968
Abril,2020.0,0.4586751096725683,-22.723488213961296,-5.192180490832521,-8.736328720607,-10.896927976994597
Maio,2020.0,7.812104061707603,-20.553198883974932,-4.997584749144446,-8.23827137212556,-9.968135828521286
Junho,2020.0,27.153321656364817,-7.22031475646695,0.47550923765145026,-0.6401725215941068,-1.506612652496031
Julho,2020.0,9.844229830440643,-2.0414156354341517,2.247202824284944,1.4619122652038463,1.2180355037375135
Agosto,2020.0,-0.4259410597829749,-4.249125363443341,2.0110424841594865,0.4713069852164242,0.16332960710683242
Setembro,2020.0,-2.1487072331386026,2.851634933909919,4.374902828008165,3.8731693696856695,3.9620244869106314
Outubro,2020.0,-7.495360982545185,0.051119203403970914,3.945023151818483,2.9051742734483854,2.8294175479540717
Novembro,2020.0,-3.86810862940572,3.735627665070429,5.69386490798407,5.219769446904898,5.051926639012461
